35;[ 35, 1 ];C35;[ 5, 7 ];Cyclic group
36;[ 36, 1 ];C9 : C4;[ 2, 3 ];Dicyclic group
36;[ 36, 2 ];C36;[ 2, 3 ];Cyclic group
36;[ 36, 3 ];(C2 x C2) : C9;[ 2, 3 ];The central extension by C3 of A4
36;[ 36, 4 ];D36;[ 2, 3 ];Dihedral group
36;[ 36, 5 ];C18 x C2;[ 2, 3 ];Abelian group of type [2,18]
36;[ 36, 6 ];C3 x (C3 : C4);[ 2, 3 ];Direct product of C3 and Dic3
36;[ 36, 7 ];(C3 x C3) : C4;[ 2, 3 ];The semidirect product of C3 and Dic3 acting via Dic3/C6=C2
36;[ 36, 8 ];C12 x C3;[ 2, 3 ];Abelian group of type [3,12]
36;[ 36, 9 ];(C3 x C3) : C4;[ 2, 3 ];The semidirect product of C32 and C4 acting faithfully
36;[ 36, 10 ];S3 x S3;[ 2, 3 ];Direct product of S3 and S3
36;[ 36, 11 ];C3 x A4;[ 2, 3 ];Direct product of C3 and A4
36;[ 36, 12 ];C6 x S3;[ 2, 3 ];Direct product of C6 and S3
36;[ 36, 13 ];C2 x ((C3 x C3) : C2);[ 2, 3 ];Direct product of C2 and C3&rtimesS3
36;[ 36, 14 ];C6 x C6;[ 2, 3 ];Abelian group of type [6,6]
37;[ 37, 1 ];C37;[ 37 ];Cyclic group
38;[ 38, 1 ];D38;[ 2, 19 ];Dihedral group
38;[ 38, 2 ];C38;[ 2, 19 ];Cyclic group
39;[ 39, 1 ];C13 : C3;[ 3, 13 ];The semidirect product of C13 and C3 acting faithfully
39;[ 39, 2 ];C39;[ 3, 13 ];Cyclic group
40;[ 40, 1 ];C5 : C8;[ 2, 5 ];The semidirect product of C5 and C8 acting via C8/C4=C2
40;[ 40, 2 ];C40;[ 2, 5 ];Cyclic group
40;[ 40, 3 ];C5 : C8;[ 2, 5 ];The semidirect product of C5 and C8 acting via C8/C2=C4
40;[ 40, 4 ];C5 : Q8;[ 2, 5 ];Dicyclic group
40;[ 40, 5 ];C4 x D10;[ 2, 5 ];Direct product of C4 and D5
40;[ 40, 6 ];D40;[ 2, 5 ];Dihedral group
40;[ 40, 7 ];C2 x (C5 : C4);[ 2, 5 ];Direct product of C2 and Dic5
40;[ 40, 8 ];(C10 x C2) : C2;[ 2, 5 ];The semidirect product of C5 and D4 acting via D4/C22=C2
40;[ 40, 9 ];C20 x C2;[ 2, 5 ];Abelian group of type [2,20]
40;[ 40, 10 ];C5 x D8;[ 2, 5 ];Direct product of C5 and D4
40;[ 40, 11 ];C5 x Q8;[ 2, 5 ];Direct product of C5 and Q8
40;[ 40, 12 ];C2 x (C5 : C4);[ 2, 5 ];Direct product of C2 and F5
40;[ 40, 13 ];C2 x C2 x D10;[ 2, 5 ];Direct product of C22 and D5
40;[ 40, 14 ];C10 x C2 x C2;[ 2, 5 ];Abelian group of type [2,2,10]
41;[ 41, 1 ];C41;[ 41 ];Cyclic group
42;[ 42, 1 ];C7 : C6;[ 2, 3, 7 ];Frobenius group
42;[ 42, 2 ];C2 x (C7 : C3);[ 2, 3, 7 ];Direct product of C2 and C7&rtimesC3
42;[ 42, 3 ];C7 x S3;[ 2, 3, 7 ];Direct product of C7 and S3
42;[ 42, 4 ];C3 x D14;[ 2, 3, 7 ];Direct product of C3 and D7
42;[ 42, 5 ];D42;[ 2, 3, 7 ];Dihedral group
42;[ 42, 6 ];C42;[ 2, 3, 7 ];Cyclic group
43;[ 43, 1 ];C43;[ 43 ];Cyclic group
44;[ 44, 1 ];C11 : C4;[ 2, 11 ];Dicyclic group
44;[ 44, 2 ];C44;[ 2, 11 ];Cyclic group
44;[ 44, 3 ];D44;[ 2, 11 ];Dihedral group
44;[ 44, 4 ];C22 x C2;[ 2, 11 ];Abelian group of type [2,22]
45;[ 45, 1 ];C45;[ 3, 5 ];Cyclic group
45;[ 45, 2 ];C15 x C3;[ 3, 5 ];Abelian group of type [3,15]
46;[ 46, 1 ];D46;[ 2, 23 ];Dihedral group
46;[ 46, 2 ];C46;[ 2, 23 ];Cyclic group
47;[ 47, 1 ];C47;[ 47 ];Cyclic group
48;[ 48, 1 ];C3 : C16;[ 2, 3 ];The semidirect product of C3 and C16 acting via C16/C8=C2
48;[ 48, 2 ];C48;[ 2, 3 ];Cyclic group
48;[ 48, 3 ];(C4 x C4) : C3;[ 2, 3 ];The semidirect product of C42 and C3 acting faithfully
48;[ 48, 4 ];C8 x S3;[ 2, 3 ];Direct product of C8 and S3
48;[ 48, 5 ];C24 : C2;[ 2, 3 ];3rd semidirect product of C8 and S3 acting via S3/C3=C2
48;[ 48, 6 ];C24 : C2;[ 2, 3 ];2nd semidirect product of C24 and C2 acting faithfully
48;[ 48, 7 ];D48;[ 2, 3 ];Dihedral group
48;[ 48, 8 ];C3 : Q16;[ 2, 3 ];Dicyclic group
48;[ 48, 9 ];C2 x (C3 : C8);[ 2, 3 ];Direct product of C2 and C3&rtimesC8
48;[ 48, 10 ];(C3 : C8) : C2;[ 2, 3 ];The non-split extension by C4 of Dic3 acting via Dic3/C6=C2
48;[ 48, 11 ];C4 x (C3 : C4);[ 2, 3 ];Direct product of C4 and Dic3
48;[ 48, 12 ];(C3 : C4) : C4;[ 2, 3 ];The semidirect product of Dic3 and C4 acting via C4/C2=C2
48;[ 48, 13 ];C12 : C4;[ 2, 3 ];The semidirect product of C4 and Dic3 acting via Dic3/C6=C2
48;[ 48, 14 ];(C12 x C2) : C2;[ 2, 3 ];The semidirect product of D6 and C4 acting via C4/C2=C2
48;[ 48, 15 ];(C3 x D8) : C2;[ 2, 3 ];The semidirect product of D4 and S3 acting via S3/C3=C2
48;[ 48, 16 ];(C3 : Q8) : C2;[ 2, 3 ];The non-split extension by D4 of S3 acting via S3/C3=C2
48;[ 48, 17 ];(C3 x Q8) : C2;[ 2, 3 ];The semidirect product of Q8 and S3 acting via S3/C3=C2
48;[ 48, 18 ];C3 : Q16;[ 2, 3 ];The semidirect product of C3 and Q16 acting via Q16/Q8=C2
48;[ 48, 19 ];(C6 x C2) : C4;[ 2, 3 ];7th non-split extension by C6 of D4 acting via D4/C22=C2
48;[ 48, 20 ];C12 x C4;[ 2, 3 ];Abelian group of type [4,12]
48;[ 48, 21 ];C3 x ((C4 x C2) : C2);[ 2, 3 ];Direct product of C3 and C22&rtimesC4
48;[ 48, 22 ];C3 x (C4 : C4);[ 2, 3 ];Direct product of C3 and C4&rtimesC4
48;[ 48, 23 ];C24 x C2;[ 2, 3 ];Abelian group of type [2,24]
48;[ 48, 24 ];C3 x (C8 : C2);[ 2, 3 ];Direct product of C3 and M4(2)
48;[ 48, 25 ];C3 x D16;[ 2, 3 ];Direct product of C3 and D8
48;[ 48, 26 ];C3 x QD16;[ 2, 3 ];Direct product of C3 and SD16
48;[ 48, 27 ];C3 x Q16;[ 2, 3 ];Direct product of C3 and Q16
48;[ 48, 28 ];C2 . S4 = SL(2,3) . C2;[ 2, 3 ];Conformal special unitary group on 𝔽32
48;[ 48, 29 ];GL(2,3);[ 2, 3 ];General linear group on 𝔽32
48;[ 48, 30 ];A4 : C4;[ 2, 3 ];The semidirect product of A4 and C4 acting via C4/C2=C2
48;[ 48, 31 ];C4 x A4;[ 2, 3 ];Direct product of C4 and A4
48;[ 48, 32 ];C2 x SL(2,3);[ 2, 3 ];Direct product of C2 and SL2(𝔽3)
48;[ 48, 33 ];((C4 x C2) : C2) : C3;[ 2, 3 ];The central extension by C4 of A4
48;[ 48, 34 ];C2 x (C3 : Q8);[ 2, 3 ];Direct product of C2 and Dic6
48;[ 48, 35 ];C2 x C4 x S3;[ 2, 3 ];Direct product of C2×C4 and S3
48;[ 48, 36 ];C2 x D24;[ 2, 3 ];Direct product of C2 and D12
48;[ 48, 37 ];(C12 x C2) : C2;[ 2, 3 ];Central product of C4 and D12
48;[ 48, 38 ];D8 x S3;[ 2, 3 ];Direct product of S3 and D4
48;[ 48, 39 ];(C4 x S3) : C2;[ 2, 3 ];The semidirect product of D4 and S3 acting through Inn(D4)
48;[ 48, 40 ];Q8 x S3;[ 2, 3 ];Direct product of S3 and Q8
48;[ 48, 41 ];(C4 x S3) : C2;[ 2, 3 ];The semidirect product of Q8 and S3 acting through Inn(Q8)
48;[ 48, 42 ];C2 x C2 x (C3 : C4);[ 2, 3 ];Direct product of C22 and Dic3
48;[ 48, 43 ];C2 x ((C6 x C2) : C2);[ 2, 3 ];Direct product of C2 and C3&rtimesD4
48;[ 48, 44 ];C12 x C2 x C2;[ 2, 3 ];Abelian group of type [2,2,12]
48;[ 48, 45 ];C6 x D8;[ 2, 3 ];Direct product of C6 and D4
48;[ 48, 46 ];C6 x Q8;[ 2, 3 ];Direct product of C6 and Q8
48;[ 48, 47 ];C3 x ((C4 x C2) : C2);[ 2, 3 ];Direct product of C3 and C4○D4
48;[ 48, 48 ];C2 x S4;[ 2, 3 ];Direct product of C2 and S4
48;[ 48, 49 ];C2 x C2 x A4;[ 2, 3 ];Direct product of C22 and A4
48;[ 48, 50 ];(C2 x C2 x C2 x C2) : C3;[ 2, 3 ];The semidirect product of C22 and A4 acting via A4/C22=C3
48;[ 48, 51 ];C2 x C2 x C2 x S3;[ 2, 3 ];Direct product of C23 and S3
48;[ 48, 52 ];C6 x C2 x C2 x C2;[ 2, 3 ];Abelian group of type [2,2,2,6]
49;[ 49, 1 ];C49;[ 7 ];Cyclic group
49;[ 49, 2 ];C7 x C7;[ 7 ];Elementary abelian group of type [7,7]
50;[ 50, 1 ];D50;[ 2, 5 ];Dihedral group
50;[ 50, 2 ];C50;[ 2, 5 ];Cyclic group
50;[ 50, 3 ];C5 x D10;[ 2, 5 ];Direct product of C5 and D5
50;[ 50, 4 ];(C5 x C5) : C2;[ 2, 5 ];The semidirect product of C5 and D5 acting via D5/C5=C2
50;[ 50, 5 ];C10 x C5;[ 2, 5 ];Abelian group of type [5,10]
51;[ 51, 1 ];C51;[ 3, 17 ];Cyclic group
52;[ 52, 1 ];C13 : C4;[ 2, 13 ];Dicyclic group
52;[ 52, 2 ];C52;[ 2, 13 ];Cyclic group
52;[ 52, 3 ];C13 : C4;[ 2, 13 ];The semidirect product of C13 and C4 acting faithfully
52;[ 52, 4 ];D52;[ 2, 13 ];Dihedral group
52;[ 52, 5 ];C26 x C2;[ 2, 13 ];Abelian group of type [2,26]
53;[ 53, 1 ];C53;[ 53 ];Cyclic group
54;[ 54, 1 ];D54;[ 2, 3 ];Dihedral group
54;[ 54, 2 ];C54;[ 2, 3 ];Cyclic group
54;[ 54, 3 ];C3 x D18;[ 2, 3 ];Direct product of C3 and D9
54;[ 54, 4 ];C9 x S3;[ 2, 3 ];Direct product of C9 and S3
54;[ 54, 5 ];(C3 x C3) : C6;[ 2, 3 ];The semidirect product of C32 and C6 acting faithfully
54;[ 54, 6 ];C9 : C6;[ 2, 3 ];The semidirect product of C9 and C6 acting faithfully
