32;[ 32, 45 ];C4 x C2 x C2 x C2;[ 2 ];
32;[ 32, 46 ];C2 x C2 x D8;[ 2 ];
32;[ 32, 47 ];C2 x C2 x Q8;[ 2 ];
32;[ 32, 48 ];C2 x ((C4 x C2) : C2);[ 2 ];
32;[ 32, 49 ];(C2 x C2 x C2) : (C2 x C2);[ 2 ];
32;[ 32, 50 ];(C2 x Q8) : C2;[ 2 ];
32;[ 32, 51 ];C2 x C2 x C2 x C2 x C2;[ 2 ];
33;[ 33, 1 ];C33;[ 3, 11 ];
34;[ 34, 1 ];D34;[ 2, 17 ];
34;[ 34, 2 ];C34;[ 2, 17 ];
35;[ 35, 1 ];C35;[ 5, 7 ];
36;[ 36, 1 ];C9 : C4;[ 2, 3 ];
36;[ 36, 2 ];C36;[ 2, 3 ];
36;[ 36, 3 ];(C2 x C2) : C9;[ 2, 3 ];
36;[ 36, 4 ];D36;[ 2, 3 ];
36;[ 36, 5 ];C18 x C2;[ 2, 3 ];
36;[ 36, 6 ];C3 x (C3 : C4);[ 2, 3 ];
36;[ 36, 7 ];(C3 x C3) : C4;[ 2, 3 ];
36;[ 36, 8 ];C12 x C3;[ 2, 3 ];
36;[ 36, 9 ];(C3 x C3) : C4;[ 2, 3 ];
36;[ 36, 10 ];S3 x S3;[ 2, 3 ];
36;[ 36, 11 ];C3 x A4;[ 2, 3 ];
36;[ 36, 12 ];C6 x S3;[ 2, 3 ];
36;[ 36, 13 ];C2 x ((C3 x C3) : C2);[ 2, 3 ];
36;[ 36, 14 ];C6 x C6;[ 2, 3 ];
37;[ 37, 1 ];C37;[ 37 ];
38;[ 38, 1 ];D38;[ 2, 19 ];
38;[ 38, 2 ];C38;[ 2, 19 ];
39;[ 39, 1 ];C13 : C3;[ 3, 13 ];
39;[ 39, 2 ];C39;[ 3, 13 ];
40;[ 40, 1 ];C5 : C8;[ 2, 5 ];
40;[ 40, 2 ];C40;[ 2, 5 ];
40;[ 40, 3 ];C5 : C8;[ 2, 5 ];
40;[ 40, 4 ];C5 : Q8;[ 2, 5 ];
40;[ 40, 5 ];C4 x D10;[ 2, 5 ];
40;[ 40, 6 ];D40;[ 2, 5 ];
40;[ 40, 7 ];C2 x (C5 : C4);[ 2, 5 ];
40;[ 40, 8 ];(C10 x C2) : C2;[ 2, 5 ];
40;[ 40, 9 ];C20 x C2;[ 2, 5 ];
40;[ 40, 10 ];C5 x D8;[ 2, 5 ];
40;[ 40, 11 ];C5 x Q8;[ 2, 5 ];
40;[ 40, 12 ];C2 x (C5 : C4);[ 2, 5 ];
40;[ 40, 13 ];C2 x C2 x D10;[ 2, 5 ];
40;[ 40, 14 ];C10 x C2 x C2;[ 2, 5 ];
41;[ 41, 1 ];C41;[ 41 ];
42;[ 42, 1 ];C7 : C6;[ 2, 3, 7 ];
42;[ 42, 2 ];C2 x (C7 : C3);[ 2, 3, 7 ];
42;[ 42, 3 ];C7 x S3;[ 2, 3, 7 ];
42;[ 42, 4 ];C3 x D14;[ 2, 3, 7 ];
42;[ 42, 5 ];D42;[ 2, 3, 7 ];
42;[ 42, 6 ];C42;[ 2, 3, 7 ];
43;[ 43, 1 ];C43;[ 43 ];
44;[ 44, 1 ];C11 : C4;[ 2, 11 ];
44;[ 44, 2 ];C44;[ 2, 11 ];
44;[ 44, 3 ];D44;[ 2, 11 ];
44;[ 44, 4 ];C22 x C2;[ 2, 11 ];
45;[ 45, 1 ];C45;[ 3, 5 ];
45;[ 45, 2 ];C15 x C3;[ 3, 5 ];
46;[ 46, 1 ];D46;[ 2, 23 ];
46;[ 46, 2 ];C46;[ 2, 23 ];
47;[ 47, 1 ];C47;[ 47 ];
48;[ 48, 1 ];C3 : C16;[ 2, 3 ];
48;[ 48, 2 ];C48;[ 2, 3 ];
48;[ 48, 3 ];(C4 x C4) : C3;[ 2, 3 ];
48;[ 48, 4 ];C8 x S3;[ 2, 3 ];
48;[ 48, 5 ];C24 : C2;[ 2, 3 ];
48;[ 48, 6 ];C24 : C2;[ 2, 3 ];
48;[ 48, 7 ];D48;[ 2, 3 ];
48;[ 48, 8 ];C3 : Q16;[ 2, 3 ];
48;[ 48, 9 ];C2 x (C3 : C8);[ 2, 3 ];
48;[ 48, 10 ];(C3 : C8) : C2;[ 2, 3 ];
48;[ 48, 11 ];C4 x (C3 : C4);[ 2, 3 ];
48;[ 48, 12 ];(C3 : C4) : C4;[ 2, 3 ];
48;[ 48, 13 ];C12 : C4;[ 2, 3 ];
48;[ 48, 14 ];(C12 x C2) : C2;[ 2, 3 ];
48;[ 48, 15 ];(C3 x D8) : C2;[ 2, 3 ];
48;[ 48, 16 ];(C3 : Q8) : C2;[ 2, 3 ];
48;[ 48, 17 ];(C3 x Q8) : C2;[ 2, 3 ];
48;[ 48, 18 ];C3 : Q16;[ 2, 3 ];
48;[ 48, 19 ];(C6 x C2) : C4;[ 2, 3 ];
48;[ 48, 20 ];C12 x C4;[ 2, 3 ];
48;[ 48, 21 ];C3 x ((C4 x C2) : C2);[ 2, 3 ];
48;[ 48, 22 ];C3 x (C4 : C4);[ 2, 3 ];
48;[ 48, 23 ];C24 x C2;[ 2, 3 ];
48;[ 48, 24 ];C3 x (C8 : C2);[ 2, 3 ];
48;[ 48, 25 ];C3 x D16;[ 2, 3 ];
48;[ 48, 26 ];C3 x QD16;[ 2, 3 ];
48;[ 48, 27 ];C3 x Q16;[ 2, 3 ];
48;[ 48, 28 ];C2 . S4 = SL(2,3) . C2;[ 2, 3 ];
48;[ 48, 29 ];GL(2,3);[ 2, 3 ];
48;[ 48, 30 ];A4 : C4;[ 2, 3 ];
48;[ 48, 31 ];C4 x A4;[ 2, 3 ];
48;[ 48, 32 ];C2 x SL(2,3);[ 2, 3 ];
48;[ 48, 33 ];((C4 x C2) : C2) : C3;[ 2, 3 ];
48;[ 48, 34 ];C2 x (C3 : Q8);[ 2, 3 ];
48;[ 48, 35 ];C2 x C4 x S3;[ 2, 3 ];
48;[ 48, 36 ];C2 x D24;[ 2, 3 ];
48;[ 48, 37 ];(C12 x C2) : C2;[ 2, 3 ];
48;[ 48, 38 ];D8 x S3;[ 2, 3 ];
48;[ 48, 39 ];(C4 x S3) : C2;[ 2, 3 ];
48;[ 48, 40 ];Q8 x S3;[ 2, 3 ];
48;[ 48, 41 ];(C4 x S3) : C2;[ 2, 3 ];
48;[ 48, 42 ];C2 x C2 x (C3 : C4);[ 2, 3 ];
48;[ 48, 43 ];C2 x ((C6 x C2) : C2);[ 2, 3 ];
48;[ 48, 44 ];C12 x C2 x C2;[ 2, 3 ];
48;[ 48, 45 ];C6 x D8;[ 2, 3 ];
48;[ 48, 46 ];C6 x Q8;[ 2, 3 ];
48;[ 48, 47 ];C3 x ((C4 x C2) : C2);[ 2, 3 ];
48;[ 48, 48 ];C2 x S4;[ 2, 3 ];
48;[ 48, 49 ];C2 x C2 x A4;[ 2, 3 ];
48;[ 48, 50 ];(C2 x C2 x C2 x C2) : C3;[ 2, 3 ];
48;[ 48, 51 ];C2 x C2 x C2 x S3;[ 2, 3 ];
48;[ 48, 52 ];C6 x C2 x C2 x C2;[ 2, 3 ];
49;[ 49, 1 ];C49;[ 7 ];
49;[ 49, 2 ];C7 x C7;[ 7 ];
50;[ 50, 1 ];D50;[ 2, 5 ];
50;[ 50, 2 ];C50;[ 2, 5 ];
50;[ 50, 3 ];C5 x D10;[ 2, 5 ];
50;[ 50, 4 ];(C5 x C5) : C2;[ 2, 5 ];
50;[ 50, 5 ];C10 x C5;[ 2, 5 ];
51;[ 51, 1 ];C51;[ 3, 17 ];
52;[ 52, 1 ];C13 : C4;[ 2, 13 ];
52;[ 52, 2 ];C52;[ 2, 13 ];
52;[ 52, 3 ];C13 : C4;[ 2, 13 ];
52;[ 52, 4 ];D52;[ 2, 13 ];
52;[ 52, 5 ];C26 x C2;[ 2, 13 ];
53;[ 53, 1 ];C53;[ 53 ];
54;[ 54, 1 ];D54;[ 2, 3 ];
54;[ 54, 2 ];C54;[ 2, 3 ];
54;[ 54, 3 ];C3 x D18;[ 2, 3 ];
54;[ 54, 4 ];C9 x S3;[ 2, 3 ];
54;[ 54, 5 ];(C3 x C3) : C6;[ 2, 3 ];
54;[ 54, 6 ];C9 : C6;[ 2, 3 ];
54;[ 54, 7 ];(C9 x C3) : C2;[ 2, 3 ];
54;[ 54, 8 ];((C3 x C3) : C3) : C2;[ 2, 3 ];
54;[ 54, 9 ];C18 x C3;[ 2, 3 ];
54;[ 54, 10 ];C2 x ((C3 x C3) : C3);[ 2, 3 ];
54;[ 54, 11 ];C2 x (C9 : C3);[ 2, 3 ];
54;[ 54, 12 ];C3 x C3 x S3;[ 2, 3 ];
54;[ 54, 13 ];C3 x ((C3 x C3) : C2);[ 2, 3 ];
54;[ 54, 14 ];(C3 x C3 x C3) : C2;[ 2, 3 ];
54;[ 54, 15 ];C6 x C3 x C3;[ 2, 3 ];
55;[ 55, 1 ];C11 : C5;[ 5, 11 ];
55;[ 55, 2 ];C55;[ 5, 11 ];
56;[ 56, 1 ];C7 : C8;[ 2, 7 ];
56;[ 56, 2 ];C56;[ 2, 7 ];
56;[ 56, 3 ];C7 : Q8;[ 2, 7 ];
56;[ 56, 4 ];C4 x D14;[ 2, 7 ];
56;[ 56, 5 ];D56;[ 2, 7 ];
56;[ 56, 6 ];C2 x (C7 : C4);[ 2, 7 ];
56;[ 56, 7 ];(C14 x C2) : C2;[ 2, 7 ];
56;[ 56, 8 ];C28 x C2;[ 2, 7 ];
56;[ 56, 9 ];C7 x D8;[ 2, 7 ];
56;[ 56, 10 ];C7 x Q8;[ 2, 7 ];
56;[ 56, 11 ];(C2 x C2 x C2) : C7;[ 2, 7 ];
56;[ 56, 12 ];C2 x C2 x D14;[ 2, 7 ];
56;[ 56, 13 ];C14 x C2 x C2;[ 2, 7 ];
